scientific_name,internal_flag,internal_comment
Elodea.canadensis,,
Elodea.nuttallii,,
Epicladia.phillipsii,red,Swedish west coast missing in predictions.
Equisetum.fluviatile,,
Erythrodermis.traillii,yellow,Prediction does not extend to Swedish west coast.
Erythrotrichia.carnea,,
Eudesme.virescens,,
Fissidens.fontanus,,
Fontinalis.antipyretica,,
Fontinalis.dalecarlica,,
Fontinalis.hypnoides,,
Fucus.serratus,,
Fucus.vesiculosus.radicans,,
Furcellaria.lumbricalis,,
Gaillona.hookeri,red,Swedish west coast missing in predictions.
Gaillona.rosea,,
Grania.efflorescens,red,Swedish west coast missing in predictions and potential overprediction in southeast Baltic.
Haemescharia.hennedyi,red,Swedish west coast missing in predictions.
Halidrys.siliquosa,,
Halosiphon.tomentosus,yellow,Swedish west coast underpredicted.
Heterosiphonia.plumosa,,
Hildenbrandia.rubra,red,Should occur in the southern Baltic also.
Hippuris.tetraphylla,,
Hippuris.vulgaris,,
Juncus.gerardii,,
Laminaria.digitata,,
Laminaria.hyperborea,yellow,Swedish west coast potentially underpredicted.
Leathesia.marina,yellow,Some overprediction in southeast Balti and possible underprediction in Swedish west coast.
Lemna.minor,yellow,Swedish west coast prediction probably overestimated and model artefact.
Lemna.trisulca,,
Limosella.aquatica,,
Lithothamnion.glaciale,yellow,Some underprediction in Swedish west coast.
Lomentaria.clavellosa,yellow,Some underprediction in Swedish west coast.
Meiodiscus.spetsbergensis,red,Swedish west coast missing in predictions.
Melobesia.membranacea,,
Membranoptera.alata,,
Mesogloia.vermiculata,,
Monostroma.balticum,,
Myriophyllum.alterniflorum,yellow,Higher occurrence in Swedish side of Bothnian Bay.
Myriophyllum.sibiricum,,
Myriophyllum.spicatum,,
Myriophyllum.verticillatum,,
Najas.marina,,
Nemalion.multifidum,,
Nitella.flexilis,,
Nitella.wahlbergiana,,
Nitellopsis.obtusa,,
Nuphar.lutea,,
Nymphaea.alba,,
Odonthalia.dentata,,
Palmaria.palmata,,
Persicaria.foliosa,,
Peyssonnelia.dubyi,,
Phragmites.australis,,
Phycodrys.rubens,,
Phyllophora.crispa,,
Plagiospora.gracilis,,
Plumaria.plumosa,,
Polyides.rotunda,,
Polysiphonia.elongata,,
Polysiphonia.fibrillosa,red,Predicted occurrences (mostly in Finland) biogeograpically unrealistic.
Polysiphonia.stricta,,
Potamogeton.berchtoldii,,
Potamogeton.crispus,,
Potamogeton.friesii,,
Potamogeton.gramineus,,
Potamogeton.natans,,
Potamogeton.obtusifolius,,
Potamogeton.perfoliatus,,
Potamogeton.praelongus,,
Potamogeton.pusillus,,
Pterothamnion.plumula,,
Ptilota.gunneri,,
Ranunculus.aquatilis,yellow,Occurrence predictions mostly in Finland due to input data. Probably does not reflect the true geographic distribution.
Ranunculus.peltatus.peltatus,,
Ranunculus.reptans,,
Rhizoclonium.riparium,,
Rhodochorton.purpureum,,
Rhodomela.confervoides,,
Rhodophyllis.divaricata,,
Rubrointrusa.membranacea,,
Ruppia.cirrhosa,,
Ruppia.maritima,,
Saccharina.latissima,,
Sagittaria.natans,,
Sagittaria.sagittifolia,,
Sargassum.muticum,,
Scagelothamnion.pusillum,yellow,Swedish west coast missing in predictions.
Schoenoplectus.lacustris,,
Schoenoplectus.tabernaemontani,,
Scytosiphon.lomentaria,,
Sparganium.emersum,,
Spermatochnus.paradoxus,,
Spermothamnion.repens,,
Sphacelaria.cirrosa,,
Sphaceloderma.caespitulum,,
Sphaerotrichia.divaricata,,
Spongomorpha.aeruginosa,,
Spongonema.tomentosum,yellow,Swedish west coast potentially underpredicted.
Stictyosiphon.tortilis,,
Stuckenia.pectinata,,
Stuckenia.vaginata,,
Subularia.aquatica,,
Triglochin.maritima,,
Typha.angustifolia,,
Typha.latifolia,,
Ulothrix.zonata,,
Ulva.lactuca,,
Ulva.linza,,
Ulva.prolifera,yellow,Potential underprediction at Swedish east coast Baltic Proper.
Urospora.penicilliformis,yellow,High occurrence at Estonia probably a model artefact.
Utricularia.vulgaris,,
Vaucheria,,
Vertebrata.byssoides,,
Vertebrata.fucoides,,
Zannichellia.major,,
Zannichellia.palustris,,
Zostera.marina,,
Zygnema,,
