"scientific_name","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary"
"Lampetra.fluviatilis",257,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Crangon.crangon",252,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Salmo.salar",234,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Phoxinus.phoxinus",226,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Lesueurigobius.friesii",199,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Entelurus.aequoreus",197,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Belone.belone",190,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Molva.molva",176,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Liparis.liparis",173,FALSE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Ammodytes.marinus",158,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Centrolabrus.exoletus",157,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Sardina.pilchardus",150,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Lepidorhombus.whiffiagonis",146,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Lophius.piscatorius",145,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Carassius.carassius",139,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Macropodia.rostrata",133,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Cottus.gobio",131,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Homarus.gammarus",130,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Micromesistius.poutassou",126,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Syngnathus.rostellatus",120,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Hyas.araneus",117,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Lota.lota",110,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Scyliorhinus.canicula",105,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Hyperoplus.immaculatus",103,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Leptoclinus.maculatus",100,TRUE,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
